plant.name,plant.cultivar,model.name,model.weight,model.dimensions.length,model.dimensions.width,model.dimensions.height,model.tank_volume,model.rotors.power,model.rotors.number,model.nozzles.type,model.nozzles.number,model.particle_diameter.min,model.particle_diameter.max,model.swath_width.min,model.swath_width.max,model.water_pump.type,model.water_pump.flow_rate,model.water_pump.number,experiment.name,experiment.weather.temperature.min,experiment.weather.temperature.max,experiment.weather.humidity.min,experiment.weather.humidity.max,experiment.weather.velocity.min,experiment.weather.velocity.max,experiment.params.height,experiment.params.flight_speed,experiment.params.spray_volume,experiment.params.atomization_diameter,experiment.results.coverage.value,experiment.results.coverage.max,experiment.results.coverage.CV,experiment.results.droplet_size.value,experiment.results.droplet_size.max,experiment.results.droplet_size.CV
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,23.0,31.0,48.0,72.0,0.2,1.6,2.0,7.0,30.0,,3.1,3.6,39.7,223.9,226.3,10.4
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,22.853,30.273,47.035,73.869,0.193,1.682,1.926,7.245,30.99,,3.071,3.567,39.723,221.977,223.357,10.29
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,22.576,31.612,47.101,71.277,0.213,1.54,1.927,7.4,31.603,,3.132,3.569,39.928,223.152,225.597,10.367
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,23.444,30.642,48.994,70.165,0.194,1.513,1.971,7.431,28.912,,3.063,3.543,39.761,220.497,228.554,10.488
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,22.57,30.351,46.459,70.476,0.2,1.598,2.135,7.137,31.542,,3.135,3.679,38.899,227.634,227.634,10.419
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,22.462,31.291,47.565,72.936,0.215,1.672,2.086,6.478,28.784,,3.128,3.553,39.659,223.835,224.33,10.382
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,23.728,31.576,46.65,70.641,0.199,1.628,1.968,6.796,30.931,,3.091,3.643,40.625,225.293,225.293,10.207
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,23.676,31.471,46.694,70.583,0.189,1.646,1.953,7.226,28.715,,3.147,3.598,39.632,221.595,222.895,10.511
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,23.179,31.227,49.701,72.154,0.21,1.661,2.044,7.117,30.54,,3.078,3.587,39.085,221.293,224.355,10.585
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,23.072,31.172,47.316,70.412,0.195,1.586,1.928,7.299,27.975,,3.084,3.611,39.695,222.136,228.875,10.4
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,23.0,31.0,48.0,72.0,0.2,1.6,2.0,3.0,30.0,,4.3,4.5,65.0,251.1,252.9,12.0
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,22.876,31.735,49.205,74.321,0.191,1.624,1.979,3.054,28.66,,4.34,4.544,64.617,254.118,254.118,11.96
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,23.004,30.628,48.75,70.262,0.191,1.544,1.964,3.088,28.482,,4.324,4.481,63.554,255.376,255.376,11.74
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,22.449,31.723,48.123,71.754,0.214,1.539,2.121,2.947,32.387,,4.256,4.539,64.061,253.226,253.226,12.178
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,23.204,30.211,50.339,73.71,0.193,1.657,1.969,2.791,31.81,,4.204,4.424,66.293,252.932,258.27,11.944
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,23.672,31.612,47.095,70.546,0.186,1.688,2.082,3.197,31.805,,4.325,4.554,65.1,250.418,252.23,12.158
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,23.496,31.209,47.752,72.377,0.204,1.583,2.017,2.888,29.168,,4.358,4.566,63.86,250.682,255.598,11.808
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,22.71,31.549,48.897,71.905,0.216,1.658,1.919,2.725,28.89,,4.279,4.514,65.088,252.975,256.16,12.176
